,cleaned_event,cleaned_venue,cleaned_place,cleaned_date
7192,NINETEENTH ANNUAL DINNER,PATR,"SCRANTON, PA",1890-02-11
7193,BREAKRFAST,COMMERCIAL,"WHITE MOUNTAINS, NH",1906-01-25
7194,THIRD ANNUAL DINNER,SOC,"CLARK'S, NEW YORK, NY",1900-01-29
7195,LUNCHEON/DEJEUNER FOURCHETTE,COMMERCIAL,"NEW YORK, NY",1906-04-16
7196,BREAKFAST,COMMERCIAL,SS. FIRESTONE,1897-02-22
7197,LUNCHEON,COMMERCIAL,"COLOMBO, ",1891-11-30
7198,WASHINGTON'S BIRTHDAY DINNER,SOC,"ROCHESTER, NY",1897-05-14
7199,40TH ANNUAL BANQUET,"SOC, COM","MERCANTILE CLUB ST LOUIS, MO",1900-01-29
7200,8TH ANNUAL BANQUET,PROF,"MERCANTILE CLUB, ST LOUIS MO",1907-01-15
7201,WINE LIST,COMMERCIAL,"NEW YORK, NY",1901-02-24
7202,30TH ANNUAL DINNER,SOC,"CINCINNATI, OH",1899-01-01
7203,LUNCH,COMMERCIAL,"TAMPA,FLA.",1905-05-15
7204,COLLATION TO HOTEL MEN'S MUTUAL BENEFIT ASSOCIATION,PROF,"GREAT NORTHERN HOTEL , CHICAGO, IL",1899-01-03
7205,ENTERTAINMENT OF DELEGATES TO INTERNATIONAL RAILWAY CONGRESS - BREAKFAST,COMMERCIAL,"LOGAN HOUSE, ALTOONA, PA",1905-10-06
7206,DINNER,GOVT,"ST. PETERSBURG,RUSSIA",1893-03-21
7207,LUNCHEON,SOC,"CRESCENT ATHLETIC CLUB BAY RIDGE, NY",1906-03-23
7208,DINNER,PROF,"NARRAGANSETT HOTEL, PROVIDENCE RI",1907-11-14
7209,LUNCHEON/DEJEUNER FOURCHETTE,COMMERCIAL,"NEW YORK, NY",1906-12-19
7210,DINNER,SOC,"BROOKLYN, NY",1900-02-10
7211,"TO COMMEMORATE THE 300TH ANNIVERSARY OF THE SAILING OF THE SHIPS DESTINED TO LAY THE FOUNDATION OF THE AMERICAN REPUBLIC AT JAMESTOWN, VA",PAT,"SAVOY HOTEL, LONDON, ENGLAND",1900-01-07
7212,DINNER,COMMERCIAL,R.M.S. CAMPANIA,1900-01-27
7213,DINNER,COMMERCIAL,,1906-11-10
7214,MENU,COMMERCIAL,"NEW YORK, NY",1908-01-09
7215,DINNER,SOC,"NEW ORLEANS, LA",1907-02-06
7216,"COMPLIMENTARY RECEPTION AND BANQUET TENDERED TO NATHANIEL ROBINSON,M.D.",SOC,"BROOKLYN, NY",1900-02-08
7217,DINNER IN HONOR OF CIVIL AND MILITARY OFFICIALS OF THE FIRST THREE RANKS,GOVT,"RESIDENCE-PALAIS, COPENHAGEN, DENMARK",1901-03-01
7218,BREAKFAST,COMMERCIAL,SS WESTERNLAND - EN ROUTE,1906-02-24
7219,LUNCHEON,COMMERCIAL,"PALM BEACH, FL",1888-12-11
7220,SECOND ANNUAL DINNER,PROF,"HOTEL ASTOR, NEW YORK",1894-05-26
7221,CELEBRATION BANQUET,,CHRIST'S COLLEGE CAMBRIDGE ENGLAND,1901-04-11
7222,DINNER,,BRUXELLES,1906-04-12
7223,DINNER,COMMERCIAL,SS BARBAROSSA,1905-11-14
7224,BANQUET,GOVT,"PARK HOTEL, THE, HOT SPRINGS, AR",1891-09-16
7225,"INSPECTION TRIP, LUNCHEON",COMMERCIAL,EN ROUTE ATLANTA - BIRMINGHAM,1898-07-13
7226,"DINNER FOR (CZAR AND CZARENNA, KING AND QUEEN OF GREECE, PRINCE AND PRINCESS OF WALES)","SOC,POL",,1899-12-12
7227,CONEY ISLAND DINNER,SOC,"VAN BUREN'S HOTEL CONEY ISLAND, NY",1900-01-24
7228,DINNER,EDUC,HOTEL MANHATTAN,1905-11-08
7229,CARTE DU JOUR,COMMERCIAL,NEW YORK,1900-01-31
7230,DINNER,COMMERCIAL,NAPLES ITALY,1898-02-08
7231,LUNCH,COMMERCIAL,SS. FRIESLAND,1908-02-21
7232,DINNER GIVEN TO HIS USHERS,OTHER (SINGLE HOST-PRIVATE PARTY),"RITTENHOUSE CLUB, PHILADELPHIA, PA",1900-02-06
7233,SEVENTH ANNUAL BANQUET,POLIT,"BROOKLYN, NY",1907-04-25
7234,DAILY MENU,COMMERCIAL,"LAKEWOOD, NJ",1908-02-11
7235,3D ANNUAL BANQUET,POL,"BELMONT MANSION, FAIRMONT PARK, ",1881-09-03
7236,ANNUAL DINNER,EDUC,"ASTOR HOTEL, NEW YORK, NY",1906-05-29
7237,DINNER,HOTEL,"NIAGARA FALLS,NY",1899-06-06
7238,ANNUAL REGIMENTAL DINNER,MIL,"THE WALNUT ROOMS, THE GRAND HOTEL, TRAFALGAR SQUARE, LONDON, ENGLAND",1908-01-31
7239,ANNUAL DINNER,EDUC,,1907-01-06
7240,SECOND ANNUAL DINNER,PROF,"LYRIC CAFE DINING ROOM, ALLENTOWN, PA",1900-01-27
7241,DINNER,COMMERCIAL,NEW YORK,1906-08-01
7242,BANQUET,EDUC,"ST. DENIS HOTEL, NEW YORK, NY",1901-03-31
7243,DINNER,COMMERCIAL,"LA HAYE,FRANCE",1907-04-25
7244,FRUHSTUCK,COMMERCIAL,SCHNELLDAMPFER HOHENZOLLERN,1900-01-10
7245,DINNER TO DIPLOMATIC CORPS,COMMERCIAL,ABOARD STEAMER NEWPORT NEWS,1907-08-25
7246,BREAKFAST,COMMERCIAL,"NEW YORK, NY",1907-03-06
7247,DINNER,COM,ON BOARD S.S.KRONPRINZESSIN CECILE,1908-02-04
7248,DEED TO H.M. HOWARD,COMMERCIAL,"PALACE HOTEL, SAN FRANCISCO, CA",1901-03-18
7249,DINNER,SOC,HOTEL ASTOR,1900-02-02
7250,DINNER,COMMERCIAL,SCHNELLDAMPFER AUGUSTE VICTORIA,1899-03-15
7251,DINNER,COMMERCIAL,ABOARD PAQUEBOT LA CHAMPAGNE,1897-04-12
7252,DINNER,SOC,"HOTEL MANHATTAN,NY",1881-01-01
7253,MENU,COMMERCIAL,"VIRGINIA BEACH, VA",1906-04-26
7254,SUPPER,COMM,,1907-10-08
7255,DINNER TO MR. FRANK GANNON,PROF,CAFE MARTIN {NEW YORK},1900-01-28
7256,DINNER,COMMERCIAL,"CAMBRIDGE SPRINGS,PA.",1908-01-24
7257,DINNER,COMMERCIAL,NY,1907-02-21
7258,SUPPER IN HONOR OF AUGUSTUS THOMAS,SOC,"HOTEL ASTOR, NEW YORK, NY",1901-03-08
7259,FOURTH DINNER-DISCUSSION,PROF,TONTINE HOTEL,1882-06-24
7260,DINNER,COM,"TAMPA,FLA.",1882-08-05
7261,NINETEENTH ANNIVERSARY DINNER,,"WILLIS'S ROOMS ALMANAK'S LONDON, ENGLAND ",1898-11-17
7262,DINNER,,"PARIS, FRANCE",1884-12-12
7263,SIXTH ANNUAL BANQUET,COMMERCIAL,,1890-08-12
7264,EXECUTIVE COMMITTEE DINNER,PROF,DELMONICOS NY,1900-01-30
7265,DINNER,PATR,"YOUNG'S HOTEL,BOSTON",1901-04-13
7266,RECEPTION & DINNER TO MR. WILLIAM J. BRYAN,POL,"FANEUIL HALL, BOSTON, MA",1900-01-24
7267,LUNCH,COMMERCIAL,SS BARBAROSSA,1895-01-01
7268,LUNCHEON,COMMERCIAL,"BROADWAY AND 52ND STREET, NEW YORK",1901-03-19
7269,DINNER HOTEL,SOC,"HOTEL VENDOME BOSTON, MA",1899-12-25
7270,LUNCH,COMMERCIAL,SCHNELLDAMPFER AUGUSTE VICTORIA,1897-06-11
7271,CHRISTMAS DINNER,COMMERCIAL,"NEWARK,NJ",1901-03-15
7272,LUNCH?; 18 ANNUAL CONVENTION,PATR,"SAMOSET HOUSE,PLYMOUTH,MA",1887-09-05
7273,DINNER,COMMERCIAL,"TAMPA, FL",1885-10-21
7274,DECENNIAL CELEBRATION,SOC,"WEST NEW BRIGHTON, STATEN ISLAND, NY",1906-09-30
7275,SIXTH ANNUAL DINNER,SOC,HOTEL BUCKINGHAM,1905-05-20
7276,DINNER,PROF,"BUFFET-RESTAURANT DE LA GARE, BRIGUE, SWITZERLAND",1905-09-12
7277,3RD ANNUAL LUNCHEON TO THE PRESBREY GIRLS,SOC,"VICTORIA HOTEL, NY",1906-12-24
7278,A LA CARTE MENU,COMMERCIAL,"TORONTO, CANADA",1882-06-04
7279,DAILY MENU,COMMERCIAL,"114 WEST FOURTEENTH STREET, NEW YORK, NY",1900-02-07
7280,DINNER,COMM,AT SEA ,1907-06-06
7281,DAILY MENU,COMMERCIAL,"384 AND 385 WEST STREET NEWYORK, NY",1893-06-05
7282,DINNER,COMMERCIAL,"QUEBEC, CANADA",1899-02-10
7283,THIRD ANNUAL BANQUET,SOC,"RICCADONNA'S, NEW YORK, NY",1908-02-07
7284,31ST ANNUAL DINNER,EDUC,"HOTEL BELLEVUE, PHILADEPHIA, PA",1896-10-13
7285,11TH ANNUAL DINNER,PROF,"HOTEL JERMYN, SCRANTON, PA",1900-01-12
7286,DINNER,COMMERCIAL,"BINGHAMPTON,NY",1896-09-04
7287,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD S.S. FRIESLAND,1907-07-13
7288,DINNER,COM},COPENHAGEN,1906-03-22
7289,BREAKFAST,COMMERCIAL,S.S. KROONLAND,1900-01-23
7290,DINNER GIVEN IN HONOUR OF JUDGE HENRY STEINERT,OTHER (PRIVATE PARTY),DEMOCRATIC CLUB,1906-10-05
7291,LUNCH,COMMERCIAL,STEAMER PILGRIM,1907-02-28
7292,DINNER IN HONOUR OF SIR THOMAS LIPTON,GOVT,"CHICAGO ATHLETIC ASSOCIATION, CHICAGO, IL",1899-04-05
7293,"DINNER, FAREWELL TO HON.HENRY WHITE, U.S.MINISTER TO ITALY",GOVT,"PALAZZO de la VEDOVA REINA MARGHERITA, ROMA, ITALIA",1906-11-21
7294,DINNER,,,1864-09-02
7295,BANQUET,(SOC),"THE HALL, LONDON, ENGLAND",1889-06-14
7296,DAILY MENU,,,1881-01-01
7297,"RECEPTION TO THE RIGHT WORTHY GRAND LODGES,LUNCH AND DINNER",SOC,"SCHAUFFLER'S HOTEL,ATLANTIC CITY,NJ",1896-03-07
7298,LUNCH,,CAMPOBELLO ISLAND,1906-01-16
7299,DINNER,SOC,"THE WALDORF, NEW YORK, NY",1899-08-06
7300,FIFTH ANNUAL DINNER,PROF,"NEW GRAND HOTEL, BROADWAY AND 31ST STREET, NEW YORK CITY",1905-06-29
7301,DINNER,GOVT,ST. PETERSBURG RUSSIA,1901-03-23
7302,LUNCH,COMMERCIAL,"SIXTH AVENUE BETWEEN 18TH AND 19TH STREETS, NEW YORK, NY",1899-04-09
7303,LUNCHEON,COMMERCIAL,"MIAMI BISCAYNE BAY,FLA.",1898-07-01
7304,LUNCH,COMMERCIAL,KONIGIN LUISE,1890-01-01
7305,BREAKFAST,COMMERCIAL,AT SEA,1906-06-10
7306,BANQUET TO THE EARL OF ONSLOW,SOC,"AUCKLAND,NEW ZEALEND",1901-01-25
7307,DINNER,COMMERCIAL,ABOARD PAQUEBOT LA TOURAINE,1907-01-15
7308,ANNUAL BANQUET,EDUC,"TEN EYCK HOTEL, ALBANY, NY",1905-11-11
7309,THIRD ANNUAL BANQUET,SOC,BELLEVUE-STRATFORD HOTEL,1900-02-11
7310,DINNER GIVEN BY ABOVE,SOC,"HOTEL TOURAINE, CHICAGO, IL",1889-01-24
7311,DINER,COMMERCIAL,R.M.S. OCEANIC,1908-01-14
7312,BANQUET,COM,HOTEL RENNERT,1891-09-15
7313,BANQUET,COMMERCIAL,"PEMIGEWASSET HOUSE, PLYMOUTH, NH",1892-08-25
7314,DINNER,COMMERCIAL,MONTREAL CANADA,1905-11-09
7315,DINNER MENU,COMMERCIAL,"WATCH HILL, RI",1906-01-18
7316,LUNCH,COMMERCIAL,"QUICK LUNCH ROOM, SIXTH AVENUE AND 19TH STREET, NEW YORK",1906-02-12
7317,DINNER,EDUC,AUDITORIUM,1892-02-27
7318,EIGHTH ANNUAL (LINCOLN'S BIRTHDAY) BANQUET,SOC,"HOTEL RENNERT, MD",1900-01-25
7319,DINNER,SOCIAL,"THE ARLINGTON,WASH.DC.",1906-11-07
7320,SIXTH CHARTER ANNIVERSARY MEAL,,"AUDITORIUM,THE,CHICAGO,IL",1899-12-08
7321,BANQUET FO CAPT. ROALD AMUNDSEN,SOC,"BROOKLY GERMANIA CLUB BROOKLYN, NY",1905-12-22
7322,DINNER,COMMERCIAL,ENROUTE EXPRESS STEAMER FURST BISMARCK,1901-01-17
7323,LUNCHEON,COMMERCIAL,"236 WEST 116TH STREET, NEW YORK",1891-11-17
7324,SIXTEENTH ANNUAL DINNER,SOC,"WALDORF-ASTORIA HOTEL, NEW YORK, NY",1900-01-29
7325,123RD ANNUAL BANQUET,COM,"DELMONICO'S, NEW YORK",1901-04-01
7326,DAILY MENU,COMMERCIAL,NY,1893-12-25
7327,BREAKFAST,COMMERCIAL,"JACKSONVILLE, FL",1907-01-22
7328,CHRISTMAS DINNER,COMMERCIAL,"NEW YORK, NY",1908-02-15
7329,ANNUAL BANQUET,SOC,NEW YORK,1885-02-02
7330,THIRTY-FIRST ANNUAL DINNER,SOC,CLUB HOUSE,1908-01-14
7331,SECOND ANNUAL DANCE,SOC,"BURNET HOUSE, OHIO",1886-02-28
7332,MENU DU SOUPER DU BALL,POSSIBLY A PRIVATE HOST,"NEWCASTLE-ON-TYNE, ENGLAND",1901-01-07
7333,BANQUET IN HONOR OF COUNT FERDINAND DE LESSUPS,PAT,PANAMA,1906-03-08
7334,THIRD ANNUAL DINNER,MIL,WALDORF-ASTORIA NY,1901-04-15
7335,SEVENTH ANNUAL BANQUET,COMMERCIAL,"ASTOR HOTEL, NEW YORK, NY",1906-10-13
7336,LUNCH,COMMERCIAL,SCHNELLDAMPFER HOHENZOLLERN,1905-10-07
7337,DINNER,COMMERCIAL,ABOARD PAQUEBOT LA TOURAINE,1897-04-25
7338,OPENING COLLATION,SOC,"BROOKLYN,NY",1906-11-10
7339,LUNCH,COMMERCIAL,"FORT MONROE,VIRGINIA",1906-05-23
7340,DAILY MENU,NAV,AT SEA,1887-05-19
7341,10TH ANNUAL BANQUET OF NATIONAL ASSOCIATION OF CLOTHIERS,PROF,ST. NICHOLAS HOTEL,1900-01-30
7342,LUNCHEON,COMMERCIAL,"CHICAGO,ILL.",1906-02-16
7343,BREAKFAST MENU,COMMERCIAL,"NEW YORK, NY",1900-01-09
7344,DINNER/DINER,COMMERCIAL,"NEW YORK, NY",1898-01-14
7345,DINNER,COMMERCIAL,"MADISON SQUARE, NY",1892-12-06
7346,PRIVATE BANQUET,SOCIAL,COPENHAGEN,1889-02-09
7347,BILL OF FARE,COMMERCIAL,,1893-04-27
7348,?,,UNION LEAGUE,1894-05-15
7349,GENERAL GRANT'S BIRTHDAY,COM,WALDORFNY,1898-11-16
7350,BANQUET AUX MEMBRES DU JURY A L'OCCASION DES CONCOURS INTERNATIONAUX D'HORTICULTURE,PROF,ANVERS,1907-04-22
7351,BANQUET IN HONOR OF ABOVE AND OTHR MEMBERS OF THE BOARD OF HEALTH,PROF,"GAYOSA HOTEL, MEMPHIS,TN",1907-03-20
7352,MIDDAG/DINNER,COMMERCIAL,ON BOARD C.F. TIETGEN,1880-01-01
7353,"DINNER TO GOVERNOR GOULS, LT. GOVERNOR DRAPER, AND THE GOVERNOR'S COUNCIL",PROF,"CHINATOWN, BOSTON, MA",1900-01-17
7354,"DAILY MENU,SUPPER",COMM,"SARATOGA SPRINGS, NY",1897-02-22
7355,LINCHEON,COMMERCIAL,,1897-07-11
7356,GEORGE WASHINGTON'S BIRTHDAY RECEPTION,SOC,"HOTEL CECIL, LONDON",1896-05-07
7357,DINNER,,,1886-03-05
7358,128TH ANNUAL MEETING,POL,"DWLMONICO'S,NY",1894-05-06
7359,DINNER TO COUNT FERDINAND DE LESSUPS,COM,ON BOARD STEAMER WASHINGTON,1901-03-13
7360,LUNCHEON,PROF,EN ROUTE NY TO DENVER-DINING CAR ABERLIN,1899-12-02
7361,DINNER,COMMERCIAL,"ST. AUGUSTINE, FL",1906-10-10
7362,DINNER ON SPECIAL TRAIN FOR SEC'Y OF WAR ELIHU ROOT AND PARTY,GOV,ENROUTE FROM WASH TO PHILADELPHIA AND RETURN,1897-03-17
7363,A FAREWELL DINNER TO DR. STEPHEN S. WISE,OTHER (GROUP OF FRIENDS),PORTLAND COMMERICAL CLUB,1908-02-08
7364,"BANQUET,126TH ANNUAL FOR THE RELIEF OF EMIGRANTS FROM IRELAND",SOC,"HOTEL WALTON,PHILADELPHIA,PA",1907-10-18
7365,DINNER TO J.F.BURKE AND H.M.GERRANS,SOC,"HOTEL IROQUOIS, BUFFALO, NY",1900-01-17
7366,DINNER TO HER BRIDESMAIDS,SOC,THE WALDOF-ASTORIA,1899-01-16
7367,LUNCH,COMMERCIAL,NY,1900-02-07
7368,DINNER IN HONOR OF HON. J.I.CLARKE HARE,PROF,BELLEVUE HOTEL,1900-01-01
7369,DINNER,COMMERCIAL,EN ROUTE ABOARD EXPRESS STEAMER AUGUSTE VICTORIA,1899-01-08
7370,BREAKFAST,COMMERCIAL,ABOARD SS MANITOBA,1898-01-21
7371,DINNER,COMMERCIAL,R.M.S. ROTTERDAM,1899-04-12
7372,SMOKER,SOC,"HOTEL IROQUOIS, BUFFALO, NY",1886-03-01
7373,BREAKFAST,COMMERCIAL,KAISER FRIEDRICH AT SEA,1896-05-03
7374,ANNUAL DINNER,PAT,WESTMINSTER HOTEL,1899-04-18
7375,DINNER,COMMERCIAL,"BERLIN,GERMANY",1906-12-25
7376,BREAKFAST,COMMERCIAL,KAISER FRIEDRICH AT SEA,1900-01-28
7377,CHRISTMAS DINNER,COMMERCIAL,CAPETOWN SOUTH AFRICA,1901-03-15
7378,BREAKFAST,COMMERCIAL,SS LA CHAMPAGNE,1901-01-01
7379,DINNER,COMMERCIAL,SCHNELLDAMPFER AUGUSTE VICTORIA,1900-01-17
7380,DINING CAR SERVICE,COMMERCIAL,EN ROUTE,1906-12-20
7381,DAILY MENU,COMMERCIAL,NY,1900-01-23
7382,DINNER,COMMERCIAL,DINNER,1905-07-04
7383,BREAKFAST,COMMERCIAL,STEAMER PLYMOUTH,1907-04-25
7384,DINNER,COMMERCIAL,EN ROUTE,1906-04-25
7385,BANQUET TENDERED TO MR. M.M. FINLEY,COMMERCIAL,"CAMTHON HOTEL, MOBILE, AL",1901-03-19
7386,DINNER,EDUS,"HOTEL JEFFERSON, ST. LOUIS, MO",1900-02-09
7387,DINNER,COMMERCIAL,"ST. AUGUSTINE, FL",1905-07-04
7388,DINNER,COMMERCIAL,66 ST. & B'WAY NY,1906-08-06
7389,JULY FOURTH DINNER,SOC,"BALTIMORE COUNTY, MD",1901-03-01
7390,BANQUET,SOC,"MIRAMAR, HAVANA, CUBA",1901-03-19
7391,DINNER,COMMERCIAL,"TAMPA, FL",1897-08-21
7392,DINNER,COMMERCIAL,"MIAMI BISCAYNE BAY, FL",1905-10-07
7393,DINNER,COMMERCIAL,"WHITE MOUNTAINS, NH",1894-12-07
7394,DINNER,PROF,AUDITORIUM HOTEL,1899-08-23
7395,COMPLIMENTARY DINNER TO MR. ROBERT GORDON,PROF,"UNION LEAGUE CLUB, NEW YORK, NY",1893-12-07
7396,LUNCHEON,COMMERCIAL,NARRAGANSETT PIER R.I.,1901-01-06
7397,DINNER,SOC,"THE GRAND PACIFIC HOTEL-CHICAGO,ILL.",1896-04-20
7398,DINNER,COMMERCIAL,"ST.LOUIS,MO",1901-03-08
7399,TRIENNIAL DINNER,PATR,"DE SOTO HOTEL, SAVANNAH, GA",1906-09-16
7400,DINNER,COM,"ST.AUGUSTINE,FLA.",1901-03-04
7401,DINNER,COMMERCIAL,"MILAN, ITALY",1906-12-17
7402,DINNER,EDUC,"UNIVERSITY CLUB, PROVIDENCE, RI",1906-02-21
7403,DINNER IN HONOR OF THE AMERICAN TARIFF COMMISSION,GOVT,"SAVOY HOTEL, BERLIN, GERMANY",1907-03-21
7404,ANNUAL DINNER,GOVT,"CLAYTON HOUSE, WILMINGTON, DE",1896-06-08
7405,ANNUAL OUTBREAK,PROF,"THE TEN EYCK, ALBANY, NY",1907-04-20
7406,(WEDDING LUNCH),,,1899-06-15
7407,DECENNIAL DINNER,PROF,"DELMONICO'S, NEW YORK, NY",1901-03-08
7408,CLASS SUPPER '99,EDUC,"SCHOOL GYMNASIUM, PROVIDENCE, R.I.",1897-11-19
7409,LUNCH,COM,"TAMPA,FLA.",1907-02-17
7410,BANQUET,PROF,"HOTEL IROQUOIS, BUFFALO,NY",1893-08-22
7411,VALENTINE BREAKFAST,PROF,"HOTEL ASTOR, NEW YORK",1899-03-13
7412,DAILY MENU,COMMERCIAL,METROPOLITAN HOTEL,1899-04-08
7413,DAILY LUNCH,COMMERCIAL,KONIGIN LUISE,1897-12-29
7414,LUNCHEON,COMMERCIAL,FLA,1897-10-06
7415,DINNER,COMMERCIAL,"PLANTERS HOTEL, ST.LOUIS, MO",1905-11-30
7416,260TH FALL FIELD DAY,MIL,"HOTEL IROQUOIS, BUFFALO, NY",1900-02-07
7417,THANKSGIVING DINNER,COMMERCIAL,PHILADELPHIA. PA,1898-02-22
7418,LUNCHEON,,"13 WEST 33RD ST., NEW YORK, NY",1882-05-08
7419,DINNER,COMMERCIAL,WASH.D.C.,1906-02-07
7420,DINNER,,"RICHMOND, VA",1899-01-13
7421,DINNER TO DR.OTTO NORDENSKJOLD,PROF,,1907-02-15
7422,171ST DINNER & ANNUAL MEETING,SOC,"BENJAMIN TRIER REST.,ROOF GARDEN,143 LIBERTY ST. NY",1896-10-02
7423,DINNER TO SR. DON MIGUEL AHUMEDA,SOC,"EL PASO, TX",1900-01-30
7424,DINNER MENU,COMMERCIAL,EN ROUTE,1905-06-07
7425,DINNER,COMMERCIAL,SS. FRIESLAND,1901-04-04
7426,RECEPTION,PROF,"HOTEL ST. FRANCIS, SAN FRANCISCO, CA",1908-01-30
7427,DINNER,COMMERCIAL,SCHNELLDAMPFER AUGUSTE VICTORIA,1896-10-24
7428,EIGHTH ANNUAL DINNER,PATR,"HOTEL ASTOR, NEW YORK",1897-04-21
7429,LUNCH OR DINNER,COMMERCIAL,"SAVARIN'S CAFE,NY",1899-07-04
7430,ANNUAL FINES DINNER,PAT,"UNION LEAGUE CLUB, NEW YORK, NY",1907-01-09
7431,LUNCH,COMMERCIAL,,1899-12-25
7432,LUNCHEON,COMMERCIAL,"BROADWAY AND 73RD STREET, NEW YORK",1888-05-19
7433,DINNER,COMMERCIAL,NY,1900-02-10
7434,"DINNER TO HON. CHAS. F. FAIRCHILD,SECRETARY OF THE TREASURY",POL,"ACADEMY OF MUSIC, BROOKLYN, NY",1905-05-13
7435,LUNCH,COMMERCIAL,SS WESTERNLAND,1908-02-21
7436,EIGHT ANNUAL DINNER,PATR,"WALDORF ASTORIA, NEW YORK, NY",1905-05-13
7437,TWENTY-SECOND ANNIVERSARY BANQUET,PROF,"THE WALDORF HOTEL, LONDON ENGLAND",1900-01-31
7438,TRIP TO PHILADELPHIA AND 244TH REGULAR DINNER,SOC,EN ROUTE: SPECIAL TRAIN,1901-02-14
7439,ANNUAL DINNER,PROF,"TEN EYCK, THE, ALBANY, NY",1881-01-01
7440,DINNER,COMMERCIAL,"ST. AUGUSTINE, FL",1905-12-12
7441,BREAKFAST,,NEWPORT RI,1899-11-30
7442,ANNUAL MEETING,PROF,"AUDITORIUM HOEL, CHICAO, IL",1899-07-24
7443,THNAKSGIVING DINNER,COMMERCIAL,"ASHEVILLE, NC",1900-02-03
7444,SUPPER,COMMERCIAL,"PETOSKEY, MI",1906-12-13
7445,DINNER,COMMERCIAL,ABOARD MAIL-STEAMER WALDERSEE,1898-10-14
7446,257TH REGULAR MEETING AND DINNER,SOC,"LITTLE HUNGARY 257 EAST HOUSTON STREET, NEW YORK, NY",1901-04-06
7447,LUNCHEON FOR CIVIL GOVERNMNT DAY,COMMERCIAL,OMAHA NEBRASKA,1907-01-09
7448,"FIRST REUNION, CLASS OF '99",EDUC,"GELB'S PARLORS, PROVIDENCE, RO",1900-01-28
7449,DAILY MENU,COMMERCIAL,"BROADWAY AND 73RD STREET, NEW YORK",1899-05-18
7450,DINNER,COMMERCIAL,NY,1901-01-23
7451,DAILY BILL OF FARE,COMMERCIAL,CAFE & REST,1901-04-12
7452,LUNCHEON,COMMERCIAL,"TAMPA, FL",1885-09-22
7453,MENU,COMMERCIAL,"300 PEARL STREET,NEW YORK,NY",1906-12-01
7454,DAILY DINNER,COM,"CHICAGO, ILL",1901-02-22
7455,TASTING DINNER OF STEWARDS & OFFICERS,SOC,"DELMONICO'S,NY",1900-01-17
7456,WASHINGTON'S BIRTHDAY DINNER,COMMERCIAL,"NASSAU, N.P., BAHAMAS",1901-01-15
7457,DAILY MENU,COMMERCIAL,,1907-01-28
7458,DINNER,COMMERCIAL,"METROPOLITAN CLUB, NEW YORK, NY",1901-01-15
7459,MENU,COMMERCIAL,"NEW YORK, NY",1901-03-13
7460,DINNER,COMMERCIAL,"WALDORF-ASTORIA HOTEL, NEW YORK, NY",1906-01-12
7461,38TH DINNER,SOC,"WALDORF-ASTORIA, THE, NEW YORK, NY",1905-07-14
7462,DINNER,SOC,"BELLEVUE-STRATFORD, PHILADELPHIA, PA",1901-03-26
7463,DINING ROOM MENU,COMMERCIAL,NEW YORK ZOOLOGICAL PARK,1905-04-08
7464,DINNER,COMMERCIAL,"ST.AUGUSTINE,FL",1908-02-19
7465,DINNER ON TOUR VIA SOUTHERN RAILWAY,PROF,"EN ROUTE, PITTSBURGH TO ORMOND",1900-01-06
7466,PUBLIC SERVICE DINNER,PROF,"WALDORF-ASTORIA, NEW YORK",1897-09-07
7467,FOURTH ANNUAL DINNER,SOC,"MANHATTAN HOTEL, NY",1890-02-26
7468,DINER-GALA,GOVT,,1907-05-04
7469,REUNION,SOC,"CHAMBERLIN'S WASHINGTON,DC",1859-07-01
7470,DINNER,EDUC,"BURLINGTON HOUSE, LONDON, ENGLAND",1909-01-01
7471,BREAKFAST MENU,,"NEW YORK, NY",1907-06-04
7472,Complimentary Dinner and Presentation to Matthew A. Henson,,,1898-12-06
7473,DINNER,SOC,"22 DOWN STREET, LONDON, ENGLAND",1891-06-03
7474,ANNUAL DINNER,COMMERCIAL,"GERMANTOWN, PA",1897-11-24
7475,FIRST ANNUAL DINNER,MIL,CLARK'S NY,1906-05-31
7476,DINNER,OTHERPRIVATE,,1890-03-04
7477,BANQUET COMMEMORATING THE MARRIAGE OF S.M. EL REY DON ALFONSO XIII AND VICTORIA EUGENIA DE BATTENBERG,SOC,"HAVANA, CUBA",1897-07-05
7478,120TH ANNIVERSARY DINNER,PROF,DELMONICO'S,1895-07-04
7479,ANNUAL COMMEMORATIVE DINNER,SOC,"OCEAN HOUSE,NEWPORT,R.I.",1899-02-21
7480,FOURTH OF JULY DINNER MENU,COMMERCIAL,"CHICAGO, IL",1901-03-09
7481,ANNUAL DINNER,SOC,"MURRAY HILL HOTEL,THE,NY",1899-12-11
7482,DINNER,COMMERCIAL,"ST.AUGUSTINE,FLA.",1899-11-30
7483,LUNCH,COMMERCIAL,SS FURST BISMARCK,1907-02-01
7484,THANKSGIVING DINNER,COMMERCIAL,"NEW YORK, NY",1901-03-19
7485,ANNUAL BANQUET TO THE MANAGERS,COMMERCIAL,"THE WALDORF-ASTORIA, NEW YORK",1907-03-29
7486,LUNCHEON,COMMERCIAL,"TAMPA, FL",1905-11-30
7487,DINNER,PROF,"HOTEL MAHAFFEY, JENNINGS, LA",1892-12-27
7488,THANKSGIVING DINNER,COMMERCIAL,,1898-10-11
7489,135TH ANNUAL COMMUNICATION AND DINNER,REL,"TOWN OF PROVIDENCE,R.I.",1900-01-25
